GENE	TCGA-04-1348	TCGA-04-1357	TCGA-04-1362	TCGA-04-1364	TCGA-04-1365	TCGA-04-1514	TCGA-04-1519	TCGA-09-0364	TCGA-09-0366	TCGA-09-0367	TCGA-09-0369	TCGA-09-1662
VPS13A-AS1	0	0	0.2558	0	0	0	0	0	0.0861	0	0	0.1108
UBE2Q2P2	1.5835	1.3102	1.8719	0.7491	0.5131	0.8466	1.2046	1.8754	0.8915	1.1617	0.7417	2.3839
HMGB1P1	2.0365	1.0614	2.5575	2.3753	3.3925	2.8379	2.7179	3.554	2.2993	1.2255	1.164	3.0475
TIMM23B	6.6362	5.3543	6.2563	6.582	6.5911	6.717	6.3501	5.4545	5.7907	5.4451	6.4607	5.7358
MOXD2P	0	0	0	0	0	0	0	0	0	0	0	0
LOC155060	2.5514	2.5472	3.3611	3.1037	1.8992	3.815	1.595	4.0686	2.9697	1.3418	4.0418	2.4609
RNU12-2P	0.1174	0	0.0872	0	0	0.2068	0.2121	0.3486	0.2597	0	0.0785	0.0731
SSX9	0	0	0	0	0	0	0	0	0	0	0	0
CSN1S2B	0	0	0	0	0	0	0	0	0	0	0	0
CXorf67	0.0408	0	0.476	0.1345	0	0.2725	0.2942	0.3756	0.0602	0	0.0714	0.0649
EFCAB8	0.0752	0.111	0.0957	0.0748	0.0225	1.6342	0	0.2433	0.0393	0	0.5986	0.0454
SRP14P1	0.4443	0.4879	0.5107	0.6839	0.8514	0.4604	1.2661	1.9517	0.9916	0.3613	1.5904	0.1561
LOC391343	0.0161	0.0284	0	0	0	0	0.0457	0	0.4217	0.0128	0	0
TRIM75P	0	0	0.1313	0.0327	0.0452	0.0324	0.0351	0.1533	0.0513	0	0	0.1125
SPATA31B1P	0	0	0	0	0	0	0	0	0	0	0	0
REXO1L6P	0	0	0	0	0	0	0	0	0	0	0	0
SDR16C6P	0	0	0	0	0	0	0	0	0	0	0	0
LOC553137	0.0521	0.0468	0.0727	0.0356	0.0124	0	0	0.0218	0	0	0.0415	0.0252
HSPB1P1	2.5481	2.3173	2.6145	2.5083	3.1154	1.569	2.6301	1.5366	3.7709	2.4066	0.8074	1.6918
PPBPP1	0	0	0	0	0	0	0	0	0	0	0	0
FRMPD2B	0	0	0	0.0477	0	0.1998	0	0	0	0	0	0
ANKRD20A20P	0	0	0.6204	0	0.0453	0.0656	0	0	0.0346	0	0	0.2164
TMPRSS11E	0.0122	0.0542	0.0172	0	0	0	0	0.1455	0.2323	0.0124	0	0
GTPBP6	5.2463	5.1021	5.3997	5.2365	5.2005	5.567	3.5933	5.5217	5.1752	3.8737	5.7637	5.1711
EFCAB12	0.5842	1.4874	2.69	2.6493	2.7197	2.3238	1.7908	2.7124	2.4237	0.9579	0.7032	0.2045
A1BG	1.7079	1.5482	1.4147	3.1009	0.8799	1.3207	1.4126	3.0008	2.0557	2.5114	2.5953	1.0767
A1CF	0	0	0.0175	0	0	0	0	0.0507	0	0	0.0327	0
A2BP1	0.0063	0.0142	0.1108	0.2479	0.148	0.0716	3.1207	0.0259	0.0056	0.332	0.2093	0.5128
A2LD1	3.4278	2.6972	3.824	2.5011	1.2946	1.9791	1.8894	3.2117	2.0529	2.2412	3.2096	2.5431
A2ML1	0.202	0.9	0.1521	0.1316	0.1031	0.1312	0.1548	2.757	0.1426	2.8125	0.0353	0.0804
A2M	7.3738	7.8494	6.7115	5.5708	6.8116	6.6726	5.8454	5.2325	8.1241	6.2963	7.9525	7.2235
A4GALT	2.0012	3.3181	4.7505	2.6296	2.987	2.5993	3.0307	1.713	4.7111	3.1601	2.0362	3.5277
A4GNT	0.0298	0	0	0	0.0351	0.0738	0	0.0909	0.1162	0.0738	0	0
AAA1	0	0	0	0	0	0.0638	0	0.089	0	0	0	0
AAAS	6.3712	5.2545	5.639	6.0414	4.466	6.7677	5.9862	5.8235	5.8176	4.3861	6.1305	5.9694
AACSL	0	0	0	1.4532	0.0838	3.0001	0.1059	0.2522	0	0.024	0.6085	0
AACS	4.673	2.5429	3.9167	4.304	4.4471	5.0606	4.8592	4.9356	4.8226	3.3861	4.5883	3.9494
AADACL2	0	0	0.1461	0	0	0	0	0.0445	0.0941	0.0216	0	0
AADACL3	0.1027	0.3542	0.1333	0	0.0363	0	0	0.0136	0	0.0199	0	0
AADACL4	0	0	0	0.0289	0.0201	0	0	0.1031	0.3874	0.0674	0.0225	0
AADAC	0.9829	3.1417	2.4157	0.1361	3.8182	0.0822	2.5166	2.0992	2.4253	1.3595	0.4044	2.373
AADAT	1.1498	0.6618	2.2149	2.9497	1.2492	4.1104	2.2948	3.3863	0.1059	0.2763	3.6623	1.3627
AAGAB	4.6081	3.9373	4.1387	4.8975	5.0222	4.9797	3.7351	5.1552	4.8891	3.0714	5.1155	4.796
AAK1	5.0416	4.3836	3.8557	4.5482	4.2806	3.6193	5.0332	3.2431	4.9708	3.8431	4.132	4.1922
AAMP	7.3393	6.4125	6.8563	7.176	7.1579	7.0098	6.9628	6.9699	6.9922	6.556	6.8815	6.7988
AANAT	0.4624	0.5389	0.606	0	0.1812	0.7308	0.0582	0.4569	0.9119	0.095	0.5894	0.4272
